0,0,
1,0,
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,
11,0,
12,0,
13,0,
14,0,
15,0,
16,0,
17,0,
18,0,
19,0,
20,0,
21,0,
22,0,
23,0,
24,1,
25,7,
26,22,
27,28,
28,63,
29,93,
30,135,
31,177,
32,224,
33,306,
34,420,
35,508,
36,607,
37,778,
38,922,
39,1082,
40,1279,
41,1429,
42,1642,
43,1756,
44,1846,
45,2038,
46,2066,
47,2007,
48,2081,
49,2053,
50,2039,
51,1969,
52,1846,
53,1741,
54,1673,
55,1549,
56,1478,
57,1289,
58,1249,
59,1193,
60,1026,
61,959,
62,948,
63,910,
64,868,
65,786,
66,801,
67,771,
68,776,
69,848,
70,812,
71,820,
72,801,
73,880,
74,903,
75,850,
76,890,
77,1873,
78,0,
79,916,
80,924,
81,847,
82,951,
83,935,
84,965,
85,2009,
86,0,
87,1072,
88,1108,
89,1124,
90,1224,
91,2540,
92,0,
93,1413,
94,1557,
95,1628,
96,1791,
97,3958,
98,0,
99,1930,
100,1899,
101,1941,
102,3603,
103,0,
104,1737,
105,1588,
106,2964,
107,0,
108,1336,
109,1369,
110,2752,
111,0,
112,1442,
113,1381,
114,2745,
115,0,
116,1464,
117,1544,
118,3143,
119,0,
120,1789,
121,1790,
122,3939,
123,0,
124,2097,
125,4611,
126,0,
127,2385,
128,2483,
129,4652,
130,0,
131,2235,
132,4109,
133,0,
134,1858,
135,3818,
136,0,
137,2040,
138,4398,
139,0,
140,2270,
141,4774,
142,0,
143,2466,
144,4623,
145,0,
146,2340,
147,4487,
148,0,
149,2314,
150,4701,
151,0,
152,2611,
153,5413,
154,0,
155,2673,
156,4884,
157,0,
158,4348,
159,0,
160,1846,
161,3397,
162,0,
163,1454,
164,2773,
165,0,
166,2448,
167,0,
168,1241,
169,2326,
170,0,
171,1350,
172,2467,
173,0,
174,2374,
175,0,
176,1236,
177,2058,
178,0,
179,1739,
180,0,
181,790,
182,1307,
183,0,
184,1260,
185,0,
186,1338,
187,0,
188,664,
189,1541,
190,0,
191,1737,
192,0,
193,1942,
194,0,
195,876,
196,1772,
197,0,
198,1667,
199,0,
200,1758,
201,0,
202,868,
203,1892,
204,0,
205,2014,
206,0,
207,2136,
208,0,
209,1984,
210,0,
211,939,
212,1503,
213,0,
214,1064,
215,0,
216,758,
217,0,
218,527,
219,0,
220,444,
221,0,
222,294,
223,0,
224,78,
225,124,
226,0,
227,77,
228,0,
229,28,
230,0,
231,13,
232,0,
233,9,
234,0,
235,0,
236,0,
237,1,
238,0,
239,0,
240,0,
241,2,
242,0,
243,2,
244,0,
245,0,
246,0,
247,0,
248,0,
249,0,
250,0,
251,0,
252,0,
253,0,
254,0,
255,0,
